endtime,loudness
99.293,0.7186
99.5691,0.1849
99.8886,0.8677
99.9828,0.1577
100.0896,0.7967
100.1896,0.1854
100.2847,0.8725
100.3784,0.1691
100.4738,0.7603
100.7826,0.1929
100.887,0.8326
100.9784,0.1868
101.2807,0.8345
101.551,0.1824
101.8689,0.7333
102.1673,0.1652
102.2748,0.8593
102.3709,0.1948
102.4724,0.821
102.5698,0.1969
102.8729,0.8929
103.1919,0.1777
103.2922,0.8588
103.3826,0.1998
103.4817,0.8077
103.5882,0.1791
103.6896,0.7416
104.3273,0.1698
104.4216,0.9096
104.5145,0.1775
104.8148,0.8257
105.137,0.1607
105.4368,0.8642
105.5326,0.1811
105.6279,0.7283
105.7374,0.1865
105.8394,0.7348
106.1363,0.1773
106.2273,0.7717
106.3252,0.1991
106.4283,0.8482
106.5227,0.1716
106.618,0.9343
106.7127,0.171
107.0386,0.8269
107.3102,0.2021
107.4078,0.8561
107.7135,0.1657
107.8088,0.7486
107.9145,0.1705
108.194,0.8206
108.2991,0.198
108.4078,0.8896
108.734,0.2
108.8377,0.9054
108.9403,0.1989
109.0356,0.8951
109.1276,0.1901
109.2301,0.8609
109.5054,0.1869
109.6072,0.88
109.7092,0.1783
109.9861,0.8009
110.3071,0.1999
110.4047,0.8093
110.5013,0.1565
110.8097,0.711
110.907,0.1747
111.0019,0.9347
111.3137,0.1676
111.4101,0.8894
111.51,0.1707
111.6191,0.7901
111.898,0.1872
111.99,0.7874
112.0973,0.1555
112.2016,0.8403
112.298,0.1948
112.5843,0.941
112.8826,0.1581
113.206,0.878
113.303,0.1699
113.5906,0.8936
114.3196,0.1842
114.4098,0.7835
114.5041,0.1821
114.6058,0.7441
114.6976,0.191
114.7919,0.8287
114.8822,0.1691
115.1551,0.7682
115.4315,0.1756
115.5341,0.7596
115.8449,0.1631
115.9476,0.8459
116.05,0.2059
116.3597,0.8694
116.4508,0.191
116.5457,0.9017
116.646,0.1782
116.7468,0.8159
117.0504,0.1596
117.3671,0.7684
117.4753,0.1625
117.7821,0.807
117.8835,0.1673
117.9873,0.7443
118.0805,0.1674
118.1734,0.7592
118.2693,0.2057
118.5465,0.7123
118.6514,0.1819
118.9769,0.8569
119.6754,0.1776
119.7825,0.8283
119.8858,0.1536
120.1756,0.8896
120.4983,0.1621
120.8218,0.8211
120.9177,0.1885
121.0183,0.9163
121.65,0.2013
121.7489,0.9061
121.8436,0.1969
122.1507,0.8719
122.2547,0.1733
122.5668,0.8914
122.6633,0.1706
122.7575,0.8252
123.0576,0.1953
123.1485,0.8326
123.4429,0.1943
123.536,0.8113
123.6413,0.1992
123.9588,0.7317
124.0663,0.1856
124.1673,0.8184
124.8693,0.1792
124.9737,0.8667
125.0817,0.1695
125.1863,0.7169
125.2777,0.17
125.38,0.8031
125.489,0.1651
125.5927,0.8608
125.8912,0.1946
125.9898,0.7887
126.0922,0.1584
126.4206,0.8431
126.7216,0.1696
126.8137,0.8346
126.9124,0.1557
127.1868,0.8039
127.2936,0.175
127.4003,0.7443
127.7136,0.158
127.8139,0.8538
127.9177,0.165
128.0149,0.8429
128.1179,0.1906
128.4142,0.8997
128.7056,0.1847
129.0173,0.8776
129.1124,0.1941
129.4164,0.8808
130.049,0.1683
130.3646,0.8583
130.4563,0.1931
130.5641,0.9284
130.6617,0.1972
130.7584,0.8834
131.0499,0.1676
131.1449,0.7532
131.4178,0.1587
131.7018,0.9468
132.02,0.1579
132.1253,0.8804
132.4068,0.1767
132.5021,0.8934
132.5922,0.1788
132.9088,0.7958
133.0016,0.2035
133.0967,0.8401
133.3729,0.1942
133.4741,0.8611
133.5812,0.1995
133.8724,0.7197
133.9821,0.1893
134.0799,0.765
134.3902,0.181
134.4916,0.8934
134.5862,0.1926
134.6845,0.916
134.7832,0.1644
135.1041,0.7562
135.4115,0.1814
135.5083,0.8983
135.5997,0.1548
135.7094,0.7336
136.0116,0.1599
136.1074,0.8802
136.1991,0.1984
136.2973,0.9145
136.4,0.1953
136.5068,0.9008
136.796,0.179
136.888,0.7978
136.9886,0.2006
137.0801,0.7939
137.1815,0.2059
137.2844,0.7856
137.57,0.1738
137.6636,0.8989
137.9704,0.1812
138.2939,0.8554
138.3881,0.193
138.4971,0.8866
138.5879,0.1773
138.9171,0.846
139.0111,0.164
139.1139,0.8554
139.2064,0.1974
139.3139,0.8289
139.5975,0.192
139.6882,0.8888
139.791,0.2062
139.8863,0.8039
139.9861,0.17
140.2877,0.8734
140.6124,0.1666
140.9217,0.8626
141.0278,0.1955
141.1311,0.8448
141.2296,0.1536
141.3259,0.7888
141.6014,0.1913
141.7011,0.7744
141.8049,0.1612
141.8975,0.7301
141.9983,0.162
142.2798,0.7943
142.5764,0.1718
142.6843,0.8204
142.7749,0.2032
142.8769,0.7901
142.9851,0.1935
143.0798,0.8198
143.7859,0.1883
143.8833,0.9
144.1542,0.1563
144.4329,0.8655
144.5283,0.2021
144.8299,0.9293
144.9325,0.1641
145.0328,0.8899
145.124,0.1799
145.4479,0.8693
145.7526,0.1985
145.8465,0.8525
145.9375,0.1669
146.0324,0.8062
146.14,0.1846
146.4163,0.7501
146.7081,0.1707
146.8138,0.8931
146.9201,0.2047
147.0243,0.7361
147.3518,0.1976
147.6278,0.9249
147.7304,0.1632
147.8279,0.9005
147.9373,0.1591
148.0462,0.902
148.361,0.159
148.465,0.786
148.7826,0.1737
149.1081,0.8495
149.2026,0.1609
149.4935,0.8739
150.1296,0.1767
150.2369,0.8699
150.3415,0.1699
150.4394,0.8539
150.7184,0.1533
150.9946,0.7129
151.0981,0.1775
151.2025,0.7672
151.8703,0.202
151.9684,0.8715
152.281,0.169
152.3843,0.8446
152.4783,0.1665
152.5686,0.8497
152.665,0.2029
152.9686,0.7588
153.2835,0.1615
153.6125,0.7608
153.7113,0.1818
154.0054,0.8901
154.31,0.1546
154.6106,0.8604
154.7076,0.1598
155.0282,0.7413
155.1206,0.1637
155.2143,0.8799
155.3079,0.1798
155.4177,0.7708
155.5166,0.1662
155.8409,0.8916
155.9389,0.1824
156.2162,0.8115
156.9445,0.1715
157.042,0.9288
157.1506,0.1603
157.2425,0.7574
157.3522,0.1586
157.4494,0.8098
157.7223,0.1862
158.0283,0.7893
158.1193,0.1814
158.3919,0.8254
158.4921,0.175
158.8138,0.8506
159.0941,0.1676
159.1929,0.9185
159.2917,0.1577
159.6071,0.9372
159.7166,0.1702
159.8185,0.7683
159.9263,0.1914
160.0351,0.7296
160.341,0.1675
160.4452,0.8333
160.5454,0.1601
160.6475,0.783
160.7458,0.1789
161.0416,0.8154
161.3163,0.183
161.5892,0.7811
161.6847,0.1844
162.0073,0.9019
162.6823,0.1551
162.7809,0.8528
162.8742,0.2043
162.9686,0.856
163.0599,0.1807
163.156,0.7529
163.2603,0.1879
163.5467,0.8625
163.8653,0.1683
164.1855,0.8572
164.2913,0.1964
164.6061,0.8069
164.7014,0.196
165.0255,0.7393
165.3443,0.2032
165.4376,0.7533
165.5311,0.2066
165.8242,0.9113
165.924,0.1815
166.0173,0.8045
166.1126,0.1974
166.2165,0.8688
166.5097,0.2021
166.6034,0.865
166.7134,0.1632
166.8176,0.9059
166.9217,0.1929
167.1926,0.888
167.5069,0.193
167.6029,0.7994
167.7,0.1842
168.0208,0.887
168.1194,0.1877
168.4469,0.8739
168.5414,0.1651
168.6512,0.7509
168.9723,0.1769
169.3011,0.7912
169.5891,0.1621
169.6796,0.7481
169.7706,0.1963
170.0714,0.8302
170.357,0.2011
170.4594,0.7612
170.5668,0.182
170.8798,0.7805
170.9791,0.1858
171.0871,0.7725
171.3751,0.2017
171.4833,0.8286
171.5799,0.1555
171.6897,0.8344
171.9937,0.1983
172.0842,0.9302
172.1895,0.164
172.5035,0.7658
173.1699,0.1539
173.4594,0.882
173.5579,0.1542
173.6651,0.79
173.7626,0.1761
174.0744,0.7463
174.1783,0.171
174.2747,0.911
174.5849,0.2033
174.9066,0.8846
174.9976,0.1599
175.2716,0.7774
175.3771,0.1628
175.6853,0.7681
176.0147,0.1992
176.2972,0.8056
176.4049,0.1885
176.5047,0.7757
176.801,0.1645
176.8939,0.7613
176.9931,0.1661
177.0925,0.9104
177.1877,0.1739
177.2787,0.7619
177.5512,0.1978
177.6602,0.8682
177.9416,0.2034
178.2357,0.8648
178.5451,0.1877
178.6486,0.7167
178.9281,0.1812
179.2398,0.8937
179.5268,0.1739
179.6243,0.7792
179.7232,0.1957
179.8318,0.7247
179.9333,0.203
180.2039,0.9032
180.5088,0.1905
180.6185,0.8197
180.7149,0.1741
180.9944,0.8669
181.0847,0.2014
181.1799,0.8788
181.8408,0.1992
181.9491,0.7864
182.0403,0.1542
182.322,0.9069
182.5987,0.1573
182.9141,0.8857
183.0192,0.1726
183.1228,0.8229
183.776,0.1928
183.8709,0.8808
184.1728,0.1664
184.446,0.8717
184.5469,0.1769
184.8735,0.9214
184.9767,0.1664
185.2769,0.8634
185.5672,0.186
185.6749,0.8344
185.7742,0.1859
185.8675,0.7853
185.9685,0.1865
186.0749,0.8989
186.1725,0.1704
186.4437,0.7705
186.5383,0.1891
186.6324,0.843
186.9587,0.1992
187.0575,0.9464
187.8143,0.1861
188.1417,0.8979
188.2449,0.1784
188.5557,0.8098
188.6538,0.1648
188.9563,0.8716
189.2614,0.1734
189.5653,0.7284
189.659,0.1963
189.938,0.8433
190.2406,0.1829
190.5223,0.8913
190.6181,0.1701
190.7224,0.8911
191.0144,0.1801
191.1226,0.8482
191.2313,0.171
191.3392,0.9034
191.6663,0.1778
191.7635,0.8941
191.865,0.1672
191.9611,0.9325
192.0638,0.2012
192.3561,0.7579
192.6716,0.1979
192.9707,0.8
193.0799,0.1603
193.3832,0.7814
194.1158,0.1602
194.3975,0.7944
194.4884,0.1781
194.5955,0.8332
194.7053,0.1536
194.796,0.8954
195.085,0.2043
195.1881,0.8022
195.4986,0.1899
195.8168,0.7432
195.9127,0.192
196.2336,0.7742
196.5432,0.1951
196.8236,0.8793
196.9195,0.1914
197.2265,0.8036
197.3198,0.1657
197.6156,0.779
197.9022,0.1944
198.22,0.8327
198.3281,0.1768
198.4275,0.7875
198.5289,0.1725
198.8381,0.8747
198.9374,0.2042
199.0369,0.8073
199.3571,0.1581
199.4529,0.8277
199.546,0.1584
199.8706,0.7549
199.9724,0.1762
200.0694,0.7871
200.3504,0.1561
200.4494,0.8588
200.5522,0.1973
200.6516,0.8637
200.9583,0.2049
201.2332,0.8058
201.505,0.1852
201.6111,0.9317
201.7171,0.1854
201.8101,0.784
201.9077,0.1879
202.1886,0.764
202.4677,0.1869
202.7932,0.7945
202.9031,0.161
203.213,0.8751
203.8882,0.1883
203.9905,0.8171
204.0859,0.1884
204.1771,0.7695
204.2739,0.1899
204.3807,0.887
204.6575,0.1685
204.7496,0.9264
205.0521,0.167
205.1529,0.8851
205.2452,0.1805
205.5634,0.833
205.661,0.1668
205.7631,0.859
206.0399,0.19
206.1407,0.8203
206.2368,0.1867
206.5386,0.8666
207.2835,0.1554
207.5724,0.7943
207.6824,0.1891
207.9821,0.8388
208.0834,0.1998
208.1932,0.8
208.2971,0.1616
208.5878,0.8809
208.8779,0.2044
208.9799,0.7216
209.074,0.1895
209.1839,0.7323
209.282,0.1563
209.6116,0.8999
209.8959,0.1944
209.9913,0.8201
210.099,0.1623
210.1983,0.8338
210.9502,0.1644
211.2781,0.7259
211.3715,0.1995
211.4696,0.8906
211.5774,0.1848
211.8924,0.8138
211.9898,0.1561
212.0898,0.9221
212.3611,0.1968
212.4516,0.8034
212.5514,0.1868
212.8438,0.8927
212.9452,0.1978
213.0372,0.9009
213.144,0.1653
213.2489,0.8858
213.5364,0.1993
213.6424,0.8162
213.7467,0.1866
213.8501,0.8507
214.1458,0.1721
214.4552,0.7959
214.7521,0.1593
214.8588,0.9002
214.9646,0.1541
215.2521,0.8893
215.9042,0.1586
216.0127,0.7986
216.1056,0.158
216.4082,0.7642
216.6918,0.1541
216.7964,0.8424
216.8906,0.1586
217.1668,0.8329
217.2687,0.1751
217.376,0.796
217.4762,0.193
217.5853,0.839
217.8752,0.1636
218.1923,0.7496
218.2993,0.1535
218.4006,0.8455
218.4916,0.1553
218.6014,0.8113
218.7,0.1982
218.8079,0.8243
219.1342,0.195
219.2426,0.8157
219.347,0.1989
219.4519,0.859
219.5507,0.1544
219.8454,0.752
220.1744,0.1936
220.4707,0.781
220.5679,0.1571
220.6589,0.9182
220.7625,0.1628
221.0806,0.8044
221.182,0.1678
221.2788,0.855
221.582,0.1904
221.685,0.9004
221.7933,0.1814
221.8902,0.7362
222.1646,0.1644
222.2705,0.9162
222.3663,0.1553
222.4564,0.9116
222.5632,0.1675
222.8655,0.7918
223.1484,0.1744
223.2567,0.9195
223.3605,0.1972
223.4516,0.8633
223.5461,0.1793
223.6506,0.8099
224.2892,0.1716
224.3866,0.7807
224.4935,0.1787
224.5996,0.9125
224.6932,0.2025
224.7852,0.8071
225.0771,0.1614
225.1681,0.798
225.4934,0.1705
225.8083,0.8494
225.9079,0.1995
226.0059,0.8063
226.3026,0.1888
226.4068,0.8969
226.511,0.204
226.6168,0.7467
226.7252,0.1846
226.8277,0.8821
227.1219,0.1938
227.2313,0.7252
227.3401,0.1577
227.4314,0.8628
227.7298,0.206
228.0449,0.8003
228.1468,0.161
228.2462,0.8571
228.3531,0.1582
228.4492,0.7824
228.5571,0.2061
228.6498,0.8736
228.9264,0.1613
229.0267,0.8257
229.1237,0.2001
229.224,0.8957
229.3234,0.1741
229.6032,0.8529
229.9311,0.1861
230.0376,0.8114
230.1364,0.175
230.2293,0.8883
230.3221,0.1616
230.4291,0.8455
231.061,0.1932
231.1554,0.7881
231.26,0.1648
231.3598,0.8995
231.4638,0.1644
231.5571,0.77
231.664,0.1554
231.9627,0.8687
232.2855,0.1769
232.3782,0.8391
232.4841,0.1829
232.5874,0.8846
232.8927,0.1734
233.1855,0.9361
233.2771,0.1866
233.382,0.8128
233.4764,0.1993
233.5747,0.9266
233.681,0.1794
233.9633,0.9194
234.6157,0.1808
234.7071,0.886
234.8066,0.1684
235.1358,0.9004
235.4633,0.178
235.767,0.9154
236.4985,0.1625
236.6072,0.9302
236.6982,0.1544
236.7977,0.8987
236.9009,0.202
237.0058,0.7301
237.1109,0.2
237.4151,0.7907
237.718,0.2042
237.9955,0.8571
238.0892,0.1587
238.3791,0.7918
238.4723,0.1739
238.7688,0.8237
239.0863,0.1919
239.1903,0.7712
239.2829,0.2028
239.6101,0.8092
239.7054,0.2009
239.8013,0.814
239.9044,0.1913
240.0006,0.9215
240.3216,0.1771
240.4235,0.7725
240.525,0.1606
240.6299,0.8561
240.7361,0.1881
241.0205,0.8461
241.3421,0.1814
241.434,0.8009
241.5317,0.1913
241.8462,0.8135
241.9367,0.1903
242.2581,0.7887
242.3581,0.1812
242.4549,0.8212
242.7533,0.1708
243.0258,0.904
243.3194,0.1589
243.4182,0.7883
243.5126,0.1706
243.8396,0.8886
244.13,0.1558
244.2234,0.8095
244.3143,0.1832
244.6302,0.8187
244.7259,0.1916
244.8291,0.8405
245.1028,0.1562
245.2113,0.863
245.3114,0.1711
245.4085,0.8158
245.7071,0.1684
245.8007,0.8288
245.9045,0.2008
246.2338,0.8416
246.8826,0.2041
247.1923,0.7324
247.4863,0.1576
247.5853,0.7977
247.6771,0.1743
247.7721,0.863
247.8633,0.1957
247.9629,0.7635
248.0592,0.2059
248.1673,0.8932
248.447,0.1814
248.5471,0.8504
248.8513,0.1948
249.1752,0.7804
249.2847,0.1609
249.5724,0.8167
249.6746,0.161
249.9653,0.7811
250.2761,0.2056
250.3849,0.7552
250.4883,0.1921
250.7816,0.7855
250.8847,0.1681
251.1927,0.838
251.2999,0.1912
251.4042,0.8469
251.7142,0.1973
251.8098,0.8369
251.9197,0.1772
252.016,0.9247
252.1149,0.1653
252.2247,0.7628
252.3209,0.1789
252.4139,0.7158
252.7368,0.2049
252.832,0.9096
252.9256,0.1929
253.2179,0.7922
253.3133,0.2022
253.4089,0.8853
253.7168,0.1776
253.826,0.754
253.9359,0.1902
254.2247,0.8241
254.5162,0.1858
254.6179,0.8073
254.719,0.1826
254.8184,0.8891
254.9282,0.1555
255.0297,0.7347
255.3497,0.2003
255.6479,0.7692
255.9212,0.1728
256.0305,0.7496
256.1229,0.1817
256.2224,0.8655
256.3131,0.1637
256.6151,0.9095
256.8907,0.1997
256.9979,0.7481
257.0898,0.1543
257.1878,0.831
257.2942,0.1808
257.3936,0.8524
258.1459,0.1647
258.2365,0.9089
258.3394,0.1769
258.4442,0.7788
258.7644,0.1723
258.8597,0.8227
258.9601,0.1917
259.0615,0.8278
259.1526,0.1799
259.4243,0.7527
259.7042,0.1589
260.0298,0.7998
260.1321,0.1687
260.2418,0.8121
260.3345,0.1863
260.4305,0.8596
260.733,0.1681
260.8274,0.7843
260.9272,0.1849
261.0273,0.9235
261.3397,0.1929
261.6582,0.7792
261.7634,0.1709
261.8724,0.8624
261.9756,0.1723
262.2544,0.9232
262.3628,0.1588
262.4624,0.8644
262.7358,0.2032
262.8328,0.8906
262.935,0.1559
263.2147,0.8919
263.5395,0.1724
263.8204,0.8633
263.9143,0.2018
264.0174,0.826
264.1114,0.1786
264.2076,0.7601
264.308,0.1639
264.4073,0.859
264.7348,0.1923
264.8273,0.7308
264.9274,0.1837
265.036,0.8248
265.3154,0.1601
265.6274,0.8712
266.3971,0.188
266.5021,0.7923
266.6061,0.1572
266.9082,0.7237
267.1837,0.2067
267.4585,0.7349
267.5551,0.1928
267.6465,0.7579
267.7433,0.1577
267.8481,0.7854
268.1534,0.1616
268.2476,0.8313
268.3464,0.184
268.4533,0.7499
268.7699,0.1669
268.878,0.7481
268.9863,0.198
269.2715,0.7587
269.377,0.1597
269.6512,0.8322
269.7596,0.1884
269.8665,0.919
270.1412,0.1775
270.2455,0.7554
270.3512,0.2037
270.4597,0.789
